time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1766409035712000000,236.925,13.100000381469727,1.100000023841858,10.600000381469727,3.0309998989105225,2.3645012378692627,20.914337158203125,23.6,120.688358,36.3603404
1766409036712000000,237.925,15.399999618530273,1.2999999523162842,11.199999809265137,2.7279999256134033,2.331467866897583,27.488780975341797,23.8,120.6883693,36.36036
1766409037712000000,238.925,13.199999809265137,1.2000000476837158,10.600000381469727,2.49399995803833,2.3085227012634277,19.98902702331543,23.8,120.6883825,36.3603785
1766409038712000000,239.925,20.100000381469727,1.2999999523162842,11.199999809265137,2.2769999504089355,2.3205666542053223,25.596534729003906,24.1,120.6883939,36.360397
1766409039712000000,240.925,15.899999618530273,1.2000000476837158,11,2.009000062942505,2.2940456867218018,12.659500122070312,24.4,120.6884059,36.3604154
1766409040712000000,241.925,11.199999809265137,1.100000023841858,11.100000381469727,1.715999960899353,2.3402628898620605,8.32034969329834,24.2,120.6884127,36.3604375
1766409041712000000,242.925,11.100000381469727,1,11.5,1.7330000400543213,2.4011318683624268,6.167234897613525,24.2,120.68842,36.3604607
1766409042712000000,243.925,13.399999618530273,1.2000000476837158,11.300000190734863,2.0999999046325684,2.4374663829803467,357.7754211425781,23.5,120.688422,36.3604819
1766409043560251400,244.77325146484375,45,0.4723045825958252,11.300000190734863,3.0439999103546143,2.4364068508148193,357.00030517578125,23.5,120.6884214,36.360503
1766409043712000000,244.925,45,0.4503227174282074,11.800000190734863,3.569999933242798,2.5591397285461426,357.2814025878906,23.8,120.6884229,36.3605065
1766409043922484000,245.13548388671876,45,0.4503227174282074,11.800000190734863,4.320000171661377,2.587998151779175,357.39422607421875,23.8,120.6884235,36.3605122
1766409044260315600,245.47331567382813,45,0.4692337214946747,11.800000190734863,4.682000160217285,2.6050992012023926,357.46484375,23.8,120.6884237,36.3605206
1766409044619391000,245.83239086914062,45,0.4692337214946747,11.800000190734863,4.998000144958496,2.6076996326446533,357.4909973144531,23.8,120.6884237,36.3605294
1766409044712000000,245.925,45,0.4388594627380371,11.199999809265137,5.170000076293945,2.606701612472534,0.7039324641227722,23.6,120.6884233,36.360531
1766409045712000000,246.925,45,0.4188782870769501,11.699999809265137,5.664000034332275,2.6509175300598145,4.262478351593018,23.4,120.6884247,36.360554
1766409046712000000,247.925,45,0.42498525977134705,11.5,6.125999927520752,2.664069890975952,1.4096555709838867,23.6,120.6884275,36.3605768
1766409047712000000,248.925,45,0.4100141227245331,11.100000381469727,6.644999980926514,2.703835964202881,354.51953125,23.9,120.6884248,36.3605992
1766409048712000000,249.925,45,0.41295182704925537,11.600000381469727,6.796999931335449,2.7720227241516113,357.5310974121094,24.3,120.6884201,36.3606234
1766409049712000000,250.925,45,0.24329887330532074,11.300000190734863,5.99399995803833,2.8184971809387207,359.0803527832031,24.2,120.6884207,36.360645
1766409050712000000,251.925,45,0.23280031979084015,11.199999809265137,5.441999912261963,2.797854423522949,5.7191243171691895,24.8,120.6884219,36.3606654
1766409051712000000,252.925,45,0.2302253693342209,11.399999618530273,4.861000061035156,2.8401548862457275,2.464409351348877,25.2,120.6884257,36.3606866
1766409052712000000,253.925,45,0.2577826976776123,11.800000190734863,4.426000118255615,2.770158290863037,2.2190134525299072,25,120.6884273,36.3607081
1766409053712000000,254.925,12.800000190734863,1,11.300000190734863,3.5439999103546143,2.6644043922424316,348.09320068359375,25.2,120.6884226,36.3607355
